apm,camera_events,castles,cavalry_units,chat_messages,commands,control_groups,duration_seconds,econ_structures,first_castle_minute,first_cavalry_minute,first_econ_structure_minute,first_infantry_minute,first_prod_structure_minute,first_ranged_minute,first_siege_minute,first_static_defense_minute,first_upgrade_minute,first_wall_gate_minute,infantry_units,kills,kl_ratio,leave_seconds,losses,map_name,name,pings,player_id,player_index,production_structures,ranged_units,replay_id,result,role_label,siege_units,source_name,static_defense,structures_done,team_id,units_born,upgrades,walls_gates
5.2,3786,1,1,1,185,19,2153,4,21.15,1.3,2.983,26.983,4.6,12.55,,6.6,1.167,13.367,16,107,1.081,1785,99,Age of Knights,Tigus,0,7,6,6,20,afa8d3f691c00255,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (17).SC2Replay,9,17,0,78,31,5
8.5,4613,1,48,4,306,141,2153,13,14.433,1.3,2.1,5.017,4.683,7.767,,14.433,1.167,,125,225,1.148,,196,Age of Knights,Shiftmagic,0,8,7,14,97,afa8d3f691c00255,Undecided,Mass-production support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (17).SC2Replay,1,25,1,360,24,0
3.8,6458,3,1,6,234,325,3687,12,12.067,1.15,2.1,6.217,4.8,16.567,33.55,12.067,0.0,,451,669,1.026,3687,652,Age of Knights,shermanator,0,1,0,16,248,ebabf0dc4f9e18dd,Win,Ranged firepower/support,199,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (18).SC2Replay,5,28,0,813,32,0
2.7,2448,1,33,0,168,0,3687,7,19.067,1.15,6.433,13.15,3.667,21.15,33.767,8.35,1.017,,74,69,0.519,,133,Age of Knights,slanktank,0,2,1,9,24,ebabf0dc4f9e18dd,Win,Mixed/support,18,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (18).SC2Replay,3,17,0,201,35,0
3.6,3048,1,46,0,222,0,3687,16,24.65,1.15,3.583,8.633,5.2,9.417,24.4,3.25,1.017,,12,161,0.904,,178,Age of Knights,ectobuilder,0,3,2,8,8,ebabf0dc4f9e18dd,Win,Siege-support player,71,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (18).SC2Replay,18,39,0,250,41,0
3.9,6804,1,1,0,240,0,3687,17,17.333,1.15,2.217,10.417,8.717,12.133,,17.333,0.0,,542,479,0.741,,646,Age of Knights,BigDaddy,0,4,3,17,34,ebabf0dc4f9e18dd,Win,Mass-production support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (18).SC2Replay,18,49,0,726,24,0
6.6,5231,1,115,0,405,117,3687,15,25.017,1.15,3.117,6.867,6.45,19.85,41.383,15.9,0.0,,222,667,0.979,3684,681,Age of Knights,TenPing,0,5,4,15,114,ebabf0dc4f9e18dd,Undecided,Siege-support player,111,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (18).SC2Replay,13,41,1,651,68,0
4.0,4181,1,2,0,246,165,3687,7,28.233,1.15,2.883,8.15,7.583,,30.433,7.317,1.017,,81,218,1.354,1968,161,Age of Knights,Metalkim,0,6,5,8,0,ebabf0dc4f9e18dd,Undecided,Mixed/support,3,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (18).SC2Replay,6,19,1,174,35,0
2.3,2313,0,1,0,142,0,3687,10,,1.15,2.1,11.65,5.117,14.3,21.75,23.45,1.017,,196,193,0.555,2611,348,Age of Knights,HolyBaconBit,0,7,6,11,75,ebabf0dc4f9e18dd,Undecided,Mass-production support,17,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (18).SC2Replay,6,26,1,324,25,0
3.2,5898,1,116,0,196,0,3687,10,18.833,1.15,5.6,19.233,6.133,9.717,47.633,4.683,1.017,16.167,11,370,1.246,3079,297,Age of Knights,SUPERBIBO,0,8,7,14,55,ebabf0dc4f9e18dd,Undecided,Cavalry pressure / mobile carry,18,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (18).SC2Replay,33,54,1,257,26,7
0.0,0,0,0,0,0,0,2857,0,,,,,,,,,,,0,0,,0,0,Age of Knights,warblade,0,1,0,0,0,c57d6e20dcac4a96,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (19).SC2Replay,0,0,0,0,0,0
6.0,3299,2,1,16,285,123,2857,14,18.983,1.017,2.083,6.3,5.933,11.133,24.517,5.283,0.0,8.983,71,86,0.667,1759,129,Age of Knights,MasterShejdu,0,2,1,14,23,c57d6e20dcac4a96,Win,Mixed/support,3,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (19).SC2Replay,29,52,0,238,32,23
3.4,4284,2,1,19,163,158,2857,20,17.5,1.017,1.917,7.3,4.05,18.833,30.567,10.867,0.0,,109,203,0.672,2857,302,Age of Knights,shermanator,0,3,2,18,194,c57d6e20dcac4a96,Win,Ranged firepower/support,143,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (19).SC2Replay,5,38,0,414,33,0
6.2,4041,1,27,4,294,23,2857,20,22.233,1.017,1.833,9.633,8.25,11.833,39.467,5.3,0.0,20.133,91,130,0.64,,203,Age of Knights,Orenz,0,4,3,18,53,c57d6e20dcac4a96,Win,Mixed/support,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (19).SC2Replay,37,72,0,299,62,23
2.5,4156,2,11,0,121,0,2857,13,20.667,1.017,2.75,7.333,6.667,9.583,25.3,12.1,1.033,,25,10,0.132,1773,76,Age of Knights,Bouncinbobby,0,5,4,7,15,c57d6e20dcac4a96,Win,Mixed/support,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (19).SC2Replay,4,21,0,131,42,0
4.8,2464,1,1,0,228,21,2857,9,22.567,1.017,2.133,8.367,6.3,13.15,,6.433,0.0,,45,182,1.077,1754,169,Age of Knights,SellJack,0,6,5,7,11,c57d6e20dcac4a96,Undecided,Mixed/support,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (19).SC2Replay,10,24,0,143,40,0
