castles,cavalry_units,commands,duration_seconds,econ_structures,infantry_units,kills,kl_ratio,losses,map_name,players,production_structures,ranged_units,replay_id,result,siege_units,source_name,static_defense,structures_done,style_label,team_id,units_born,upgrades,walls_gates
2,71,127,1447,9,0,46,0.451,102,Age of Knights,shermanator,8,0,d17c2d2501990384,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (15).SC2Replay,15,28,Mobile cavalry-pressure team,1,129,13,10
5,435,573,3203,25,55,912,0.947,963,Age of Knights,"shermanator, Skyblayde, Bushi",39,284,67591a9b6aaafcf8,Undecided,130,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (16).SC2Replay,42,96,Mobile cavalry-pressure team,0,940,87,28
5,136,1060,3203,40,302,923,0.832,1110,Age of Knights,"Smashmore, ManJusaKaTT, Starkiller",32,88,67591a9b6aaafcf8,Undecided,54,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (16).SC2Replay,53,115,Infantry-frontline-heavy team,1,1269,115,28
7,69,510,2153,49,333,615,0.81,759,Age of Knights,"shermanator, Destructo, Vilscos, Tigus",40,30,afa8d3f691c00255,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (17).SC2Replay,26,103,Infantry-frontline-heavy team,0,656,77,12
4,92,880,2153,57,619,663,0.892,743,Age of Knights,"KingKobra, ruken, Wyatt, Shiftmagic",59,127,afa8d3f691c00255,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (17).SC2Replay,31,135,Infantry-frontline-heavy team,1,1161,129,21
6,81,864,3687,52,1079,1378,0.856,1609,Age of Knights,"shermanator, slanktank, ectobuilder, BigDaddy",50,314,ebabf0dc4f9e18dd,Win,288,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (18).SC2Replay,44,133,Infantry-frontline-heavy team,0,1990,132,0
3,234,989,3687,42,510,1448,0.974,1487,Age of Knights,"TenPing, Metalkim, HolyBaconBit, SUPERBIBO",48,244,ebabf0dc4f9e18dd,Undecided,149,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (18).SC2Replay,58,140,Infantry + firepower frontline team,1,1406,154,7
10,48,1618,2857,103,436,878,0.763,1151,Age of Knights,"warblade, MasterShejdu, shermanator, Orenz, Bouncinbobby, SellJack, Eatpie, Lyle",76,318,c57d6e20dcac4a96,Win,168,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (19).SC2Replay,126,283,Infantry + firepower frontline team,0,1518,251,74
0,4,70,539,11,25,0,0.0,35,Age of Knights,"xLongSwordx, cyberstone, shermanator, Haxicon",9,0,c1badb8b5a8ce38b,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (20).SC2Replay,1,17,Infantry-frontline-heavy team,0,100,20,0
15,90,1279,4356,78,2142,2650,0.926,2863,Age of Knights,"xLongSwordx, shermanator, JuliusCaesar, blank",101,639,13e84b8814bbc631,Win,360,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (21).SC2Replay,54,211,Infantry-frontline-heavy team,0,3338,184,11
7,414,1751,4356,55,1054,2691,0.952,2827,Age of Knights,"Haxicon, Khuobol, Beagle, Turquetil",52,896,13e84b8814bbc631,Undecided,504,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (21).SC2Replay,46,142,Mixed-composition team,1,2765,210,24
1,34,731,1023,92,127,3,0.032,93,Age of Knights,"ninja, SupremeBean, Sparky, Krieger, Autumn, shermanator, KJackichan, Oha",56,17,233983c75be9d0f9,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (22).SC2Replay,23,158,Infantry-frontline-heavy team,0,573,115,16
7,10,464,4905,15,236,585,1.918,305,Age of Knights,dirtmuscle,32,68,0842af3bba4fc343,Undecided,29,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (23).SC2Replay,168,204,Turtle / layered-defense team,0,441,51,125
1,92,243,4905,20,0,252,1.145,220,Age of Knights,FriendlyBus,11,0,0842af3bba4fc343,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (23).SC2Replay,27,54,Mobile cavalry-pressure team,1,188,20,4
14,1,380,4905,13,234,911,1.894,481,Age of Knights,Southern,36,160,0842af3bba4fc343,Undecided,0,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (23).SC2Replay,36,69,Ranged/firepower-heavy team,2,572,29,14
