cavalry_to_now,infantry_to_now,kills_to_now,losses_to_now,map_name,player_id,player_index,player_name,ranged_to_now,replay_id,result,siege_to_now,snapshot_minute,source_name,static_defense_to_now,structures_done_to_now,team_id,units_born_to_now,upgrades_to_now,walls_gates_to_now
1,85,0,186,Age of Knights,6,5,Player 6,12,6843f0df48c00171,Undecided,0,60,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,18,0,181,4,0
1,0,0,2,Age of Knights,7,6,Player 7,0,6843f0df48c00171,Undecided,0,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,3,1,20,1,0
1,18,0,9,Age of Knights,7,6,Player 7,0,6843f0df48c00171,Undecided,0,10,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,8,1,56,4,0
1,50,0,22,Age of Knights,7,6,Player 7,1,6843f0df48c00171,Undecided,0,15,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,16,1,114,4,0
1,88,0,75,Age of Knights,7,6,Player 7,12,6843f0df48c00171,Undecided,0,20,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,19,1,181,4,0
1,88,0,75,Age of Knights,7,6,Player 7,12,6843f0df48c00171,Undecided,0,25,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,19,1,181,4,0
1,88,0,75,Age of Knights,7,6,Player 7,12,6843f0df48c00171,Undecided,0,30,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,19,1,181,4,0
1,88,0,75,Age of Knights,7,6,Player 7,12,6843f0df48c00171,Undecided,0,45,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,19,1,181,4,0
1,88,0,75,Age of Knights,7,6,Player 7,12,6843f0df48c00171,Undecided,0,60,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,19,1,181,4,0
1,0,0,2,Age of Knights,8,7,Player 8,0,6843f0df48c00171,Undecided,0,5,sherman_aok_replays.zip:Accounts/250707847/1-S2-1-4541527/Replays/Multiplayer/Age of Knights (10).SC2Replay,0,2,1,20,1,0
